,userId,movieId,rating
1,A30TK6U7DNS82R,0826414346,5.0
6,A14OJS0VWMOSWO,0826414346,5.0
59,A3NIQK6ZLYEP1L,0963923080,4.0
140,A281NPSIMI1C2R,0789480662,5.0
176,A14OJS0VWMOSWO,1884734766,5.0
198,A1RJD10TTI568L,B0007DVHU2,5.0
201,A1RJD10TTI568L,B0007DVHU2,5.0
302,A2UIXU97JYCPZG,B0007DQIIS,4.0
304,A1TIZI060W4BD9,B000PHTCGG,5.0
307,A1OB5L3WMHJAD9,B000PHTCGG,4.0
342,A14OJS0VWMOSWO,B000FZEKVA,5.0
354,AU7ND6NOCX9IA,1890951617,1.0
363,AUHG8KSHI529U,0345340949,4.0
373,A1RJD10TTI568L,1852309040,4.0
378,A2L7N2U5Z316ZE,1852309040,5.0
385,AHD101501WCN1,B000H45MXO,5.0
459,A4FX5YCJA630V,0671551345,3.0
539,A1X8VZWTOG8IS6,0812521765,3.0
544,A14OJS0VWMOSWO,B000MU831Q,5.0
552,A2TXR85WQLE32N,0891010947,5.0
586,A2PWUIQG57O1AZ,B000N7612G,4.0
593,A3MV1KKHX51FYT,0688071643,4.0
594,A1S3C5OFU508P3,0688071643,4.0
617,A1D2C0WDCSHUWZ,B000GSNTRC,4.0
694,A2VE83MZF98ITY,B0006P6WSS,5.0
809,AFVQZQ8PW0L,050552421X,5.0
834,A39650P2CZUUC9,B000MCKQRS,4.0
843,AFVQZQ8PW0L,B000MCKQRS,5.0
854,A2GBJQ9THOYDAJ,B000MCKQRS,4.0
869,A1IOJE0W1NXOSE,B000MCKQRS,4.0
875,A1N1YEMTI9DJ86,B000MCKQRS,5.0
964,AUTBHG6070SL4,0375422811,4.0
994,A1RAUVCWYHTQI4,0375422811,3.0
1038,A1N1YEMTI9DJ86,B000O3QCH8,4.0
1107,A3MV1KKHX51FYT,B000O3QCH8,3.0
1163,A39650P2CZUUC9,B000O3QCH8,3.0
1180,A1S3C5OFU508P3,0836204271,5.0
1209,A2TXR85WQLE32N,B0006AUI9W,4.0
1274,A2FTHCGH06O4Y5,B0007H4QBK,5.0
1495,A24505CR98NLLV,B0007H4QBK,5.0
1549,A258HDMERSI6WJ,B00085GEUM,3.0
1554,A1S3C5OFU508P3,B00085GEUM,5.0
1562,A18OBUSMXVE8R0,1933112042,5.0
1563,A14OJS0VWMOSWO,1933112042,5.0
1579,A3MQXFVZ9DCE8M,B0008AGXVW,2.0
1619,A55MRYPUAX4QU,0226143066,2.0
1621,A3M174IC0VXOS2,B000NRYUHO,5.0
1622,A3PGGI7A6XCNF1,B000NRYUHO,5.0
1625,A1K1JW1C5CUSUZ,B000NRYUHO,2.0
1638,A3M174IC0VXOS2,B000NRYUHO,4.0
1648,AFVQZQ8PW0L,B000NRYUHO,5.0
1656,AC1K4OQOZ90RS,B000NRYUHO,2.0
1688,A3BH49ZKESHDID,B000NRYUHO,3.0
1695,A2RPIGO3G4M6GN,B000NRYUHO,2.0
1747,AUM3YMZ0YRJE0,B000N6DDJQ,5.0
1807,AMKZHBOK7VMQR,B000N6DDJQ,5.0
1820,AWLFVCT9128JV,B000N6DDJQ,4.0
1829,ABN5K7K1TM1QA,B000N6DDJQ,5.0
1830,A3IKBHODOTYYHM,B000N6DDJQ,4.0
1833,A3KF4IP2MUS8QQ,B000N6DDJQ,5.0
1839,A1N1YEMTI9DJ86,B000N6DDJQ,5.0
1850,A1D2C0WDCSHUWZ,B000N6DDJQ,5.0
1851,A2AYSFGUP5VTY3,B000N6DDJQ,5.0
1853,A1D2C0WDCSHUWZ,B000N6DDJQ,5.0
1867,A3NI29U4P5NQF1,B000N6DDJQ,5.0
1886,AGEIT17HENDIS,B000N6DDJQ,5.0
1926,A2SHQJP6PNQTLD,B000N6DDJQ,4.0
2023,A20EEWWSFMZ1PN,B000N6DDJQ,3.0
2038,A96K1ZGW56S2I,B000N6DDJQ,5.0
2048,A3JSRMS7FO6EKQ,B000N6DDJQ,4.0
2062,A1K1JW1C5CUSUZ,B000N6DDJQ,5.0
2069,A2F540P3L6P5CL,B000N6DDJQ,5.0
2087,A370Z6I5GBWU44,B000N6DDJQ,4.0
2124,A1TIZI060W4BD9,B000N6DDJQ,3.0
2167,A1D2C0WDCSHUWZ,B000N6DDJQ,5.0
2177,A1BA72K4VK1UN1,B000N6DDJQ,3.0
2200,AI37YX1U4KB1L,B000N6DDJQ,4.0
2221,A3FVAWZNKW9GX,B000N6DDJQ,5.0
2240,A1CHM200OEN65X,B000N6DDJQ,5.0
2241,AFVQZQ8PW0L,B000N6DDJQ,5.0
2242,A328S9RN3U5M68,B000N6DDJQ,5.0
2258,A8F2AZWB20X1H,B000N6DDJQ,5.0
