timestamp,dataset,model,k,recall,ndcg
20230323_00:07:31 - ,Amazon,random,5,0.009999999999999998,0.034742164204401,
20230323_00:07:31 - ,Amazon,emb_dot,5,0.0,0.04240839766456397,
20230323_00:07:31 - ,Amazon,emb_nn,5,0.0,0.04240839766456397,
20230323_00:07:31 - ,Amazon,emb_dot_random_forest,5,0.0,0.06174641028297107,
20230323_00:07:31 - ,Amazon,emb_dot_kneighbors,5,0.0030000000000000005,0.0625440989659945,
20230323_00:07:31 - ,Amazon,emb_nn_random_forest,5,0.0,0.05524161006270247,
20230323_00:07:31 - ,Amazon,emb_nn_kneighbors,5,0.0,0.05482220726146946,
20230323_00:20:16 - ,Amazon,random,20,0.01699999999999998,0.02483306526926316,
20230323_00:20:16 - ,Amazon,emb_dot,20,0.0007500000000000001,0.026831283790344874,
20230323_00:20:16 - ,Amazon,emb_nn,20,0.0007500000000000001,0.026831283790344874,
20230323_00:21:24 - ,Amazon,random,20,0.01399999999999999,0.023822721234351477,
20230323_00:21:24 - ,Amazon,emb_dot,20,0.0007500000000000001,0.026831283790344874,
20230323_00:21:24 - ,Amazon,emb_nn,20,0.0007500000000000001,0.026831283790344874,
20230323_00:33:43 - ,Amazon,random,20,0.018749999999999975,0.024137016541320354,
20230323_00:33:43 - ,Amazon,emb_dot,20,0.001,0.027165311853567586,
20230323_00:33:43 - ,Amazon,emb_nn,20,0.001,0.027165311853567586,
20230323_00:33:43 - ,Amazon,emb_dot_random_forest,20,0.00025,0.039735971940895676,
20230323_00:33:43 - ,Amazon,emb_dot_kneighbors,20,0.008500000000000004,0.038233725307961305,
20230323_00:33:43 - ,Amazon,emb_nn_random_forest,20,0.00025,0.035867662842226186,
20230323_00:33:43 - ,Amazon,emb_nn_kneighbors,20,0.0007500000000000001,0.03710056559419551,
20230323_00:50:14 - ,Movielens,random,20,0.016499999999999997,0.02973499903876444,
20230323_00:50:14 - ,Movielens,emb_dot,20,0.008249999999999995,0.03379049002406385,
20230323_00:50:14 - ,Movielens,emb_nn,20,0.008249999999999995,0.03379049002406385,
